y_category,rank,char_ngram,coefficient
F,10, ans,1.1912575158420373
F,11, ansi,1.1912575158420373
F,12,res,1.1910681660845102
F,13,aba,1.1901726400843133
F,14,ansi,1.1867327060373025
F,15,presi,1.1748124861372422
F,16,dep,1.1542766872122971
F,17,dor,1.1468155292752218
F,18,ans,1.1019798929576003
F,19,sio,1.1005294403660288
F,20, enol,1.0645117385253904
G,1, g4,1.7706176048408224
G,2,g40,1.3018000399972025
G,3, g40,1.3018000399972025
G,4, g40 ,1.3018000399972025
G,5,g40 ,1.3018000399972025
G,6,igran,1.2540267311571986
G,7,migr,1.2306318360723292
G,8, migr,1.2306318360723292
G,9,migra,1.2306318360723292
G,10, mig,1.2306318360723292
G,11,igr,1.2192177897309022
G,12,igra,1.2192177897309022
G,13,lep,1.2048672389986608
G,14,inso,1.1790730274098142
G,15,gran,1.1644886560434151
G,16, mi,1.0771030603087666
G,17,pile,1.067094069342083
G,18, epil,1.067094069342083
G,19,epil,1.067094069342083
G,20,epile,1.067094069342083
H,1,iopi,1.6062266931852334
H,2,iopia,1.6062266931852334
H,3,opia,1.577105663539955
H,4,opia ,1.577105663539955
H,5,acu,1.5493688960070686
H,6,pia ,1.3352889068437745
H,7,pia,1.3177507847892034
H,8,opi,1.2769866952740638
H,9,miopi,1.1222584603918195
H,10, miop,1.1014493914041665
H,11,iop,1.0977251372758223
H,12,miop,1.086713951156961
H,13,tig,1.0399964443025587
H,14,acusi,1.0158415154377878
H,15,acus,1.0158415154377878
H,16,usia ,0.9952315628467271
H,17,cusia,0.9952315628467271
H,18,cusi,0.9952315628467271
H,19,usia,0.9952315628467271
H,20, h4,0.8792077619506333
I,1, ht,2.240038811665454
I,2, hta,1.7337856596336942
I,3,hta,1.7337856596336942
I,4,fa ,1.7086697807941171
I,5, it ,1.6208386748891936
I,6, hta ,1.5580450868622746
I,7,hta ,1.5580450868622746
I,8,ric,1.4477313271222205
I,9, fa ,1.4409699720529843
I,10,ten,1.3218010657265211
I,11, va,1.3053241114052643
I,12, fa,1.263452465709462
I,13, vari,1.250946167051272
I,14, ic,1.2489001011636012
I,15, im ,1.2185041407763733
I,16,im ,1.2185041407763733
I,17, brd,1.1786653850262223
I,18,brd,1.1786653850262223
I,19, var,1.172756319595906
I,20,ta ,1.133285474124054
J,1,asm,1.6303482198571693
J,2, asma,1.551787363824902
J,3, asm,1.551787363824902
J,4,asma,1.4732370030163788
J,5,sma,1.3990377765752664
J,6, bro,1.3236213386189621
J,7,bron,1.2909960594925598
J,8, as,1.2785880252820345
J,9, bron,1.2364390765765274
J,10,asma ,1.2194432306974536
J,11, rin,1.2106021634414579
J,12,rin,1.2065157542109917
J,13,sat,1.1857131927690805
J,14, br,1.1824838776347082
J,15,ron,1.1611385620517534
J,16,sma ,1.1514935926379466
J,17, ri,1.1411056380227804
J,18,bro,1.1320272866911039
J,19, rini,1.1299345436688786
J,20,rinit,1.1299345436688786
K,1, he,1.7454522833774129
K,2,col,1.647193442846988
K,3,str,1.6391129533433006
K,4, col,1.5912689673999763
K,5,anal ,1.3627179137108971
K,6,est,1.3073614073432034
K,7,rnia ,1.2910264622405898
K,8,ernia,1.271106917537423
K,9,rnia,1.271106917537423
K,10,gast,1.205181192182466
K,11,gastr,1.205181192182466
K,12,her,1.204339742682946
K,13, k4,1.1812155988731063
K,14,astr,1.17216646572851
K,15,lia,1.1433780502994189
K,16, k5,1.142409865140505
K,17, gast,1.119729053337417
K,18,nal ,1.1167435025906005
K,19, gas,1.1129165027133057
K,20,herni,1.1058796903046235
L,1,derm,1.1066672708261938
L,2, derm,1.042723975874822
L,3,matit,1.0178304064355375
L,4,riasi,1.012898981555468
L,5,ema ,0.9763030523504047
L,6,sac,0.9614312751603598
L,7,urti,0.9373811418365182
L,8,urt,0.9373811418365182
L,9,ticar,0.9373811418365182
L,10,urtic,0.9373811418365182
L,11, urt,0.9373811418365182
L,12, urti,0.9373811418365182
L,13,que,0.92084104595151
L,14,derma,0.9076071953417038
L,15,ermat,0.9076071953417038
L,16,rias,0.8955825904183112
L,17,rmat,0.8930994043807535
L,18,rmati,0.8930994043807535
L,19,is ,0.8905059675330307
L,20,atit,0.887083723619156
M,1,artr,2.0457852527871028
M,2,alg,1.9473218638791616
M,3,rtr,1.8187678782450327
M,4,lgi,1.748757059990976
M,5,algi,1.748757059990976
M,6,is ,1.7177124812403894
M,7,lgia,1.6306820366695713
M,8,algia,1.6306820366695713
